"","isco08","isco08_l2","cno70","isco08_desc","cno70_desc","major_group","skill_level"
"1","1100",11,20,NA,"20 Legislative bodies, personal director of public administration",NA,NA
"2","1110",11,20,NA,"20 Legislative bodies, personal director of public administration","1. Managers","High"
"3","1120",11,20,"Managing Directors and Chief Executives","20 Legislative bodies, personal director of public administration","1. Managers","High"
"4","1130",11,20,NA,"20 Legislative bodies, personal director of public administration","1. Managers","High"
"5","1141",11,21,NA,"21 Directors, managers (personal director)","1. Managers","High"
"6","1141",11,39,NA,"39 Warehouse clerks, storekeepers, administrative assistants, receptionists, travel office employees, library and archive employees, import and export assistants, document processors, miscellaneous, life and automobile insurance assistant","1. Managers","High"
"7","1142",11,21,NA,"21 Directors, managers (personal director)","1. Managers","High"
"8","1200",12,21,NA,"21 Directors, managers (personal director)",NA,NA
"9","1210",12,21,NA,"21 Directors, managers (personal director)","1. Managers","High"
"10","1220",12,21,NA,"21 Directors, managers (personal director)",NA,NA
"11","1224",12,41,NA,"41 Trader, owner","1. Managers","High"
"12","1225",12,50,NA,"50 Managers of hotels, bars, similar","1. Managers","High"
"13","1226",12,35,NA,"35 Heads of railway stations and post offices","1. Managers","High"
"14","1227",12,21,NA,"21 Directors, managers (personal director)","1. Managers","High"
"15","1229",12,13,NA,"13 teachers","1. Managers","High"
"16","1229",12,58,NA,"58 Firefighters, police officers, public and private detective, guards, prison guard","1. Managers","High"
"17","1229",12,17,NA,"17 Composers, musicians, singers, choreographers, dancers, actors, directors, artists, business people and show producers, recreationists, announcer","1. Managers","High"
"18","1230",12,21,NA,"21 Directors, managers (personal director)",NA,NA
"19","1231",12,40,NA,"40 Director, sales manager","1. Managers","High"
"20","1231",12,30,NA,"30 Heads of office clerks, survey supervisor","1. Managers","High"
"21","1232",12,19,NA,"19 Librarians, archivists, museum managers, sociologists, anthropologists, social welfare workers, philologists, translators, interpreters, psychologists, sociologists, letter reader","1. Managers","High"
"22","1233",12,42,NA,"42 sales managers, buyers","1. Managers","High"
"23","1240",12,30,NA,"30 Heads of office clerks, survey supervisor",NA,NA
"24","1300",13,21,NA,"21 Directors, managers (personal director)",NA,NA
"25","1311",13,60,"Agricultural and Forestry Production Managers","60 Administrator of agricultural exploitation, agricultural cooperatives, foreman, and/or farm foreman","6. Skilled Agricultural, Forestry and Fishery Workers","Medium"
"26","1311",13,61,"Agricultural and Forestry Production Managers","61 Farmers and ranchers","6. Skilled Agricultural, Forestry and Fishery Workers","Medium"
"27","1313",13,21,NA,"21 Directors, managers (personal director)","1. Managers","High"
"28","1314",13,40,NA,"40 Director, sales manager","1. Managers","High"
"29","1314",13,41,NA,"41 Trader, owner","5. Services and Sales Workers","Medium"
"30","1314",13,41,NA,"41 Trader, owner","1. Managers","High"
"31","1314",13,40,NA,"40 Director, sales manager","5. Services and Sales Workers","Medium"
"32","1314",13,84,NA,"84 Fitters, assemblers and installers of machinery and precision instruments, watchmakers and mechanics","5. Services and Sales Workers","Medium"
"33","1315",13,51,NA,"51 Manager - owner of hotel, bars, restaurants","1. Managers","High"
"34","1315",13,50,NA,"50 Managers of hotels, bars, similar","1. Managers","High"
"35","1317",13,40,NA,"40 Director, sales manager","1. Managers","High"
"36","1319",13,21,NA,"21 Directors, managers (personal director)","1. Managers","High"
"37","2000",20,19,NA,"19 Librarians, archivists, museum managers, sociologists, anthropologists, social welfare workers, philologists, translators, interpreters, psychologists, sociologists, letter reader",NA,NA
"38","2110",21,1,NA,"01 Chemicals, Physical (Professionals and Technicians)",NA,NA
"39","2111",21,1,"Physicists and Astronomers","01 Chemicals, Physical (Professionals and Technicians)","2. Professionals","High"
"40","2112",21,1,"Meteorologists","01 Chemicals, Physical (Professionals and Technicians)","2. Professionals","High"
"41","2113",21,1,"Chemists","01 Chemicals, Physical (Professionals and Technicians)","2. Professionals","High"
"42","2114",21,1,"Geologists and geophysicists","01 Chemicals, Physical (Professionals and Technicians)","2. Professionals","High"
"43","2120",21,8,"Mathematicians, Actuaries and Statisticians","08 Statesmen, mathematicians, systems analysts, technicians",NA,NA
"44","2121",21,8,NA,"08 Statesmen, mathematicians, systems analysts, technicians","2. Professionals","High"
"45","2122",21,8,NA,"08 Statesmen, mathematicians, systems analysts, technicians","2. Professionals","High"
"46","2131",21,8,"Biologists, Botanists, Zoologists and Related Professionals","08 Statesmen, mathematicians, systems analysts, technicians","2. Professionals","High"
"47","2132",21,8,"Farming, Forestry and Fisheries Advisers","08 Statesmen, mathematicians, systems analysts, technicians","2. Professionals","High"
"48","2140",21,2,NA,"02 Architects – Engineers (civil, electrical, electronic, mechanical, chemical, metallurgical, mining, and industrial)",NA,NA
"49","2141",21,2,"Industrial and Production Engineers","02 Architects – Engineers (civil, electrical, electronic, mechanical, chemical, metallurgical, mining, and industrial)","2. Professionals","High"
"50","2142",21,2,"Civil Engineers","02 Architects – Engineers (civil, electrical, electronic, mechanical, chemical, metallurgical, mining, and industrial)","2. Professionals","High"
"51","2143",21,2,"Environmental Engineers","02 Architects – Engineers (civil, electrical, electronic, mechanical, chemical, metallurgical, mining, and industrial)","2. Professionals","High"
"52","2145",21,2,"Chemical Engineers","02 Architects – Engineers (civil, electrical, electronic, mechanical, chemical, metallurgical, mining, and industrial)","2. Professionals","High"
"53","2146",21,2,"Mining Engineers, Metallurgists and Related Professionals","02 Architects – Engineers (civil, electrical, electronic, mechanical, chemical, metallurgical, mining, and industrial)","2. Professionals","High"
"54","2147",21,2,NA,"02 Architects – Engineers (civil, electrical, electronic, mechanical, chemical, metallurgical, mining, and industrial)","2. Professionals","High"
"55","2148",21,3,NA,"03 Surveyors, draftsmen – Technicians in (Civil, electrical, electronic, mechanical, chemical, industrial, metallurgical, mining, and industrial engineering) Topographer","2. Professionals","High"
"56","2149",21,2,"Engineering Professionals Not Elsewhere Classified","02 Architects – Engineers (civil, electrical, electronic, mechanical, chemical, metallurgical, mining, and industrial)","2. Professionals","High"
"57","2210",22,5,NA,"05 Biologists, agronomists, zoologists, bacteriologists, pharmacologists, technicians in biological and agronomic sciences",NA,NA
"58","2211",22,5,"Generalist Medical Practitioners","05 Biologists, agronomists, zoologists, bacteriologists, pharmacologists, technicians in biological and agronomic sciences","2. Professionals","High"
"59","2212",22,5,"Specialist Medical Practitioners","05 Biologists, agronomists, zoologists, bacteriologists, pharmacologists, technicians in biological and agronomic sciences","2. Professionals","High"
"60","2213",22,5,NA,"05 Biologists, agronomists, zoologists, bacteriologists, pharmacologists, technicians in biological and agronomic sciences","2. Professionals","High"
"61","2221",22,6,"Nursing Professionals","06 Physicians, surgeons, physician assistants, dentists, dental assistants, veterinarians, veterinary assistants, pharmacists, public health dietitians, and nutritionists, nutritionist","2. Professionals","High"
"62","2221",22,7,"Nursing Professionals","07 Nurses, certified and non-graduate midwives, optometrists, physiotherapists, radiology technicians, surgical instrumentation,","2. Professionals","High"
"63","2222",22,6,"Midwifery Professionals","06 Physicians, surgeons, physician assistants, dentists, dental assistants, veterinarians, veterinary assistants, pharmacists, public health dietitians, and nutritionists, nutritionist","2. Professionals","High"
"64","2223",22,6,NA,"06 Physicians, surgeons, physician assistants, dentists, dental assistants, veterinarians, veterinary assistants, pharmacists, public health dietitians, and nutritionists, nutritionist","2. Professionals","High"
"65","2224",22,6,NA,"06 Physicians, surgeons, physician assistants, dentists, dental assistants, veterinarians, veterinary assistants, pharmacists, public health dietitians, and nutritionists, nutritionist","2. Professionals","High"
"66","2226",22,7,NA,"07 Nurses, certified and non-graduate midwives, optometrists, physiotherapists, radiology technicians, surgical instrumentation,",NA,NA
"67","2230",22,7,"Traditional and Complementary Medicine Professionals","07 Nurses, certified and non-graduate midwives, optometrists, physiotherapists, radiology technicians, surgical instrumentation,","1. Managers","High"
"68","2230",22,7,"Traditional and Complementary Medicine Professionals","07 Nurses, certified and non-graduate midwives, optometrists, physiotherapists, radiology technicians, surgical instrumentation,","2. Professionals","High"
